id,category,query,answer,expected_answer,expected_sources,retrieved_sources,chunks_retrieved,faithfulness,faithfulness_notes,relevance,relevance_notes,context_recall,context_recall_notes,completeness,completeness_notes,config_label
q01,SLA,SLA xử lý ticket P1 là bao lâu?,SLA xử lý ticket P1 là 4 giờ kể từ khi ticket được tạo [1].,Ticket P1 có SLA phản hồi ban đầu 15 phút và thời gian xử lý (resolution) là 4 giờ.,['support/sla-p1-2026.pdf'],"['policy/refund-v4.pdf', 'support/sla-p1-2026.pdf']",3,5,"The answer accurately reflects the SLA for ticket P1 as stated in the retrieved context, which specifies a resolution time of 4 hours from ticket creation.",5,"The answer directly addresses the query by providing the specific SLA for processing a P1 ticket, which is 4 hours from the time the ticket is created.",5,Retrieved 1/1 expected sources,3,"The model answer captures the main idea of the SLA for ticket P1 but misses the initial response time of 15 minutes, which is an important detail.",baseline_dense
q02,Refund,Khách hàng có thể yêu cầu hoàn tiền trong bao nhiêu ngày?,Khách hàng có thể yêu cầu hoàn tiền trong vòng 7 ngày làm việc kể từ thời điểm xác nhận đơn hàng [1].,Khách hàng có thể yêu cầu hoàn tiền trong vòng 7 ngày làm việc kể từ thời điểm xác nhận đơn hàng.,['policy/refund-v4.pdf'],"['policy/refund-v4.pdf', 'it/access-control-sop.md']",3,5,"The answer accurately reflects the information provided in the retrieved context, specifically stating that customers can request a refund within 7 working days from the order confirmation, which is directly supported by the retrieved chunks.",5,"The answer directly addresses the query by stating that customers can request a refund within 7 working days from the order confirmation, which is exactly what was asked.",5,Retrieved 1/1 expected sources,5,The model answer covers all important points from the expected answer.,baseline_dense
q03,Access Control,Ai phải phê duyệt để cấp quyền Level 3?,"Để cấp quyền Level 3, cần có sự phê duyệt của Line Manager, IT Admin và IT Security [1].","Level 3 (Elevated Access) cần phê duyệt từ Line Manager, IT Admin, và IT Security.",['it/access-control-sop.md'],"['it/access-control-sop.md', 'support/sla-p1-2026.pdf']",3,5,"The answer accurately reflects the requirements for Level 3 access as stated in the retrieved context, specifically mentioning the necessary approvals from Line Manager, IT Admin, and IT Security.",5,The answer directly addresses the query by specifying who needs to approve the granting of Level 3 access.,5,Retrieved 1/1 expected sources,5,The model answer covers all important points from the expected answer.,baseline_dense
q04,Refund,Sản phẩm kỹ thuật số có được hoàn tiền không?,"Sản phẩm kỹ thuật số không được hoàn tiền. Cụ thể, các sản phẩm thuộc danh mục hàng kỹ thuật số như license key và subscription nằm trong danh sách ngoại lệ không được hoàn tiền [1].","Không. Theo chính sách hoàn tiền, sản phẩm thuộc danh mục hàng kỹ thuật số (license key, subscription) là ngoại lệ không được hoàn tiền.",['policy/refund-v4.pdf'],['policy/refund-v4.pdf'],3,5,"The answer accurately reflects the information provided in the retrieved context, specifically mentioning that digital products like license keys and subscriptions are exceptions to the refund policy, which is directly supported by the retrieved chunk [1].",5,"The answer directly addresses the query about whether digital products can be refunded, stating that they cannot be refunded and providing specific examples.",5,Retrieved 1/1 expected sources,5,"The model answer covers all important points from the expected answer, including the fact that digital products are non-refundable and specifies examples like license keys and subscriptions.",baseline_dense
q05,IT Helpdesk,Tài khoản bị khóa sau bao nhiêu lần đăng nhập sai?,Tài khoản bị khóa sau 5 lần đăng nhập sai liên tiếp [1].,Tài khoản bị khóa sau 5 lần đăng nhập sai liên tiếp.,['support/helpdesk-faq.md'],"['it/access-control-sop.md', 'support/helpdesk-faq.md', 'support/sla-p1-2026.pdf']",3,5,"The answer is fully supported by the retrieved context, which states that an account is locked after 5 consecutive failed login attempts.",5,The answer directly addresses the query by stating that the account is locked after 5 consecutive failed login attempts.,5,Retrieved 1/1 expected sources,5,The model answer covers all important points from the expected answer.,baseline_dense
q06,SLA,Escalation trong sự cố P1 diễn ra như thế nào?,"Escalation trong sự cố P1 diễn ra theo quy trình khẩn cấp như sau:

1. On-call IT Admin có thể cấp quyền tạm thời (tối đa 24 giờ) sau khi được Tech Lead phê duyệt bằng lời.
2. Sau 24 giờ, phải có ticket chính thức hoặc quyền sẽ bị thu hồi tự động.
3. Mọi quyền tạm thời phải được ghi log vào hệ thống Security Audit [1].",Ticket P1 taự động escalate lên Senior Engineer nếu không có phản hồi trong 10 phút sau khi tạo ticket.,['support/sla-p1-2026.pdf'],"['it/access-control-sop.md', 'support/sla-p1-2026.pdf']",3,5,"Every important claim in the answer is fully supported by the retrieved context, specifically from the first document regarding the escalation process for P1 incidents.",5,"The answer directly addresses the query about the escalation process in a P1 incident, providing a clear and detailed explanation of the steps involved.",5,Retrieved 1/1 expected sources,2,The model answer provides details about the escalation process but misses the crucial point about the automatic escalation of the P1 ticket to a Senior Engineer if there is no response within 10 minutes after ticket creation.,baseline_dense
q07,Access Control,Approval Matrix để cấp quyền hệ thống là tài liệu nào?,"Approval Matrix để cấp quyền hệ thống là tài liệu quy định quy trình cấp phép truy cập vào các hệ thống nội bộ của công ty, áp dụng cho tất cả nhân viên, contractor, và third-party vendor [1].",Tài liệu 'Approval Matrix for System Access' hiện tại có tên mới là 'Access Control SOP' (access-control-sop.md).,['it/access-control-sop.md'],['it/access-control-sop.md'],3,5,"The answer accurately reflects the information provided in the retrieved context, specifically stating that the Approval Matrix regulates the access permission process for internal systems and applies to all employees, contractors, and third-party vendors, which is fully supported by the context.",5,The answer directly addresses the query by explaining what the Approval Matrix is and its purpose in granting system access.,5,Retrieved 1/1 expected sources,2,"The model answer provides some context about the Approval Matrix but misses the specific name of the document ('Access Control SOP') and does not mention the current name change, which are important details.",baseline_dense
q08,HR Policy,Nhân viên được làm remote tối đa mấy ngày mỗi tuần?,Nhân viên được làm remote tối đa 2 ngày mỗi tuần sau khi hoàn thành probation period [1].,"Nhân viên sau probation period có thể làm remote tối đa 2 ngày/tuần, với điều kiện được Team Lead phê duyệt.",['hr/leave-policy-2026.pdf'],"['hr/leave-policy-2026.pdf', 'support/sla-p1-2026.pdf']",3,5,"The answer is fully supported by the retrieved context, specifically the detail about employees being allowed to work remotely up to 2 days per week after completing the probation period.",5,"The answer directly addresses the query by stating that employees can work remotely a maximum of 2 days per week, which is exactly what was asked.",5,Retrieved 1/1 expected sources,4,"The model answer correctly states the maximum number of remote days and the condition of completing the probation period, but it misses mentioning the requirement for Team Lead approval.",baseline_dense
q09,Insufficient Context,ERR-403-AUTH là lỗi gì và cách xử lý?,Tôi không biết.,"Không tìm thấy thông tin về ERR-403-AUTH trong tài liệu hiện có. Đây có thể là lỗi liên quan đến xác thực (authentication), hãy liên hệ IT Helpdesk.",[],"['it/access-control-sop.md', 'support/sla-p1-2026.pdf']",3,1,The answer 'Tôi không biết' (I don't know) is mostly unsupported and does not reference any of the provided context. It does not address the question or provide any relevant information from the retrieved chunks.,1,"The answer does not address the query at all, as it states 'I do not know' without providing any information about the ERR-403-AUTH error or how to handle it.",,No expected sources (abstain or insufficient-context case).,1,"The model answer misses most of the core content, providing no relevant information about the ERR-403-AUTH error or how to handle it.",baseline_dense
q10,Refund,"Nếu cần hoàn tiền khẩn cấp cho khách hàng VIP, quy trình có khác không?","Từ ngữ cảnh cung cấp, không có thông tin nào đề cập đến quy trình hoàn tiền khẩn cấp cho khách hàng VIP. Do đó, tôi không biết liệu quy trình có khác hay không.","Tài liệu chính sách hoàn tiền không đề cập đến quy trình đặc biệt cho khách hàng VIP. Theo chính sách hiện hành, tất cả yêu cầu hoàn tiền đều theo cùng quy trình tiêu chuẩn trong 3-5 ngày làm việc.",['policy/refund-v4.pdf'],"['policy/refund-v4.pdf', 'it/access-control-sop.md', 'support/helpdesk-faq.md']",3,2,"The answer states that there is no information regarding the emergency refund process for VIP customers in the provided context. However, it fails to address the relevant details about the refund conditions mentioned in the retrieved context, which are important for understanding the refund policy. This indicates that several important details are not covered.",1,The answer does not address the query about whether the refund process for VIP customers is different. It states a lack of information instead of providing a relevant response.,5,Retrieved 1/1 expected sources,2,"The model answer misses many important details, specifically the lack of mention that the refund policy does not specify a special process for VIP customers and the standard timeframe for refunds.",baseline_dense
