id,category,query,answer,expected_answer,expected_sources,retrieved_sources,chunks_retrieved,faithfulness,faithfulness_notes,relevance,relevance_notes,context_recall,context_recall_notes,completeness,completeness_notes,config_label
q01,SLA,SLA xử lý ticket P1 là bao lâu?,SLA xử lý ticket P1 là 4 giờ kể từ khi ticket được tạo [support/sla-p1-2026.pdf].,Ticket P1 có SLA phản hồi ban đầu 15 phút và thời gian xử lý (resolution) là 4 giờ.,['support/sla-p1-2026.pdf'],"['support/sla-p1-2026.pdf', 'policy/refund-v4.pdf']",3,5,"The answer accurately states that the SLA for ticket P1 is 4 hours from the time the ticket is created, which is directly supported by the retrieved context.",5,"The answer directly addresses the query by providing the specific SLA time for P1 tickets, which is 4 hours from ticket creation.",5,Retrieved 1/1 expected sources,3,"The model answer captures the main idea of the SLA for ticket P1 but misses the initial response time of 15 minutes, which is an important detail.",baseline_dense
q02,Refund,Khách hàng có thể yêu cầu hoàn tiền trong bao nhiêu ngày?,Khách hàng có thể yêu cầu hoàn tiền trong vòng 7 ngày làm việc kể từ thời điểm xác nhận đơn hàng [policy/refund-v4.pdf].,Khách hàng có thể yêu cầu hoàn tiền trong vòng 7 ngày làm việc kể từ thời điểm xác nhận đơn hàng.,['policy/refund-v4.pdf'],"['policy/refund-v4.pdf', 'it/access-control-sop.md']",3,5,"The answer accurately reflects the information provided in the retrieved context regarding the timeframe for requesting a refund, which is fully supported by the relevant document.",5,"The answer directly addresses the query by stating that customers can request a refund within 7 working days from the order confirmation, which is exactly what was asked.",5,Retrieved 1/1 expected sources,5,The model answer covers all important points from the expected answer.,baseline_dense
q03,Access Control,Ai phải phê duyệt để cấp quyền Level 3?,"Để cấp quyền Level 3 (Elevated Access), yêu cầu phải được phê duyệt bởi Line Manager, IT Admin và IT Security [it/access-control-sop.md].","Level 3 (Elevated Access) cần phê duyệt từ Line Manager, IT Admin, và IT Security.",['it/access-control-sop.md'],"['support/sla-p1-2026.pdf', 'it/access-control-sop.md']",3,5,"The answer accurately reflects the requirements for Level 3 (Elevated Access) as stated in the retrieved context, specifically mentioning the necessary approvals from Line Manager, IT Admin, and IT Security.",5,"The answer directly addresses the query by specifying who must approve the granting of Level 3 access, staying fully on target.",5,Retrieved 1/1 expected sources,5,"The model answer covers all important points from the expected answer, including the necessary approvals from Line Manager, IT Admin, and IT Security.",baseline_dense
q04,Refund,Sản phẩm kỹ thuật số có được hoàn tiền không?,"Sản phẩm kỹ thuật số không được hoàn tiền. Cụ thể, các sản phẩm thuộc danh mục hàng kỹ thuật số như license key và subscription không đủ điều kiện để yêu cầu hoàn tiền theo quy định [policy/refund-v4.pdf].","Không. Theo chính sách hoàn tiền, sản phẩm thuộc danh mục hàng kỹ thuật số (license key, subscription) là ngoại lệ không được hoàn tiền.",['policy/refund-v4.pdf'],['policy/refund-v4.pdf'],3,5,"The answer accurately reflects the information provided in the retrieved context regarding the non-refundable status of digital products, specifically mentioning license keys and subscriptions, which are explicitly stated in the context.",5,"The answer directly addresses the query about the refund policy for digital products, stating that they are not eligible for refunds and providing specific examples.",5,Retrieved 1/1 expected sources,5,"The model answer covers all important points from the expected answer, including the fact that digital products are non-refundable and provides specific examples.",baseline_dense
q05,IT Helpdesk,Tài khoản bị khóa sau bao nhiêu lần đăng nhập sai?,"Tài khoản bị khóa sau 5 lần đăng nhập sai liên tiếp. Để mở khóa, bạn có thể liên hệ IT Helpdesk hoặc tự reset qua portal SSO [support/helpdesk-faq.md].",Tài khoản bị khóa sau 5 lần đăng nhập sai liên tiếp.,['support/helpdesk-faq.md'],"['support/sla-p1-2026.pdf', 'support/helpdesk-faq.md', 'it/access-control-sop.md']",3,5,"The answer is fully supported by the retrieved context, accurately reflecting the information about account lockout and the methods to unlock it.",5,"The answer directly addresses the query by stating that the account is locked after 5 consecutive failed login attempts, which is exactly what was asked.",5,Retrieved 1/1 expected sources,5,"The model answer covers all important points from the expected answer, including the number of failed login attempts and additional information on unlocking the account.",baseline_dense
q06,SLA,Escalation trong sự cố P1 diễn ra như thế nào?,"Trong sự cố P1 (khẩn cấp), quy trình escalation diễn ra như sau:

1. On-call IT Admin có thể cấp quyền tạm thời tối đa 24 giờ sau khi được Tech Lead phê duyệt bằng lời.
2. Sau 24 giờ, phải có ticket chính thức hoặc quyền sẽ bị thu hồi tự động.
3. Tất cả quyền tạm thời phải được ghi log vào hệ thống Security Audit.

Quy trình này áp dụng khi cần thay đổi quyền hệ thống ngoài quy trình thông thường, ví dụ như trong trường hợp khẩn cấp để khắc phục sự cố P1 [it/access-control-sop.md].",Ticket P1 tự động escalate lên Senior Engineer nếu không có phản hồi trong 10 phút sau khi tạo ticket.,['support/sla-p1-2026.pdf'],"['support/sla-p1-2026.pdf', 'it/access-control-sop.md']",3,5,"Every important claim in the answer is fully supported by the retrieved chunks, specifically from the access control SOP regarding the escalation process in P1 incidents.",5,"The answer directly addresses the query about the escalation process in a P1 incident, providing a clear and detailed explanation of the steps involved.",5,Retrieved 1/1 expected sources,1,"The model answer misses the core content regarding the automatic escalation of the P1 ticket to a Senior Engineer if there is no response within 10 minutes. It focuses on temporary permissions instead, which is not relevant to the escalation process.",baseline_dense
q07,Access Control,Approval Matrix để cấp quyền hệ thống là tài liệu nào?,Tôi không biết.,Tài liệu 'Approval Matrix for System Access' hiện tại có tên mới là 'Access Control SOP' (access-control-sop.md).,['it/access-control-sop.md'],['it/access-control-sop.md'],3,1,The answer 'Tôi không biết' (I don't know) does not provide any information or claims that are supported by the retrieved context. It is mostly unsupported and does not reference any details from the provided documents.,1,The answer does not address the query about the 'Approval Matrix' document for system permissions.,5,Retrieved 1/1 expected sources,1,"The model answer misses most of the core content, providing no relevant information about the Approval Matrix or its current name.",baseline_dense
q08,HR Policy,Nhân viên được làm remote tối đa mấy ngày mỗi tuần?,Nhân viên sau probation period có thể làm remote tối đa 2 ngày/tuần [hr/leave-policy-2026.pdf].,"Nhân viên sau probation period có thể làm remote tối đa 2 ngày/tuần, với điều kiện được Team Lead phê duyệt.",['hr/leave-policy-2026.pdf'],"['hr/leave-policy-2026.pdf', 'support/sla-p1-2026.pdf']",3,5,"The answer is fully supported by the retrieved context, accurately reflecting the policy regarding remote work for employees after the probation period.",5,The answer directly addresses the query by stating that employees can work remotely a maximum of 2 days per week after the probation period.,5,Retrieved 1/1 expected sources,5,"The model answer covers all important points from the expected answer, including the maximum number of remote days and the condition of Team Lead approval.",baseline_dense
q09,Insufficient Context,ERR-403-AUTH là lỗi gì và cách xử lý?,Tôi không biết.,"Không tìm thấy thông tin về ERR-403-AUTH trong tài liệu hiện có. Đây có thể là lỗi liên quan đến xác thực (authentication), hãy liên hệ IT Helpdesk.",[],"['support/sla-p1-2026.pdf', 'it/access-control-sop.md']",3,1,The answer 'Tôi không biết' (I don't know) is mostly unsupported and does not reference or utilize any of the provided context. It does not address the question or provide any relevant information from the retrieved chunks.,1,"The answer does not address the query at all, as it states a lack of knowledge regarding the error and its resolution.",,No expected sources (abstain or insufficient-context case).,1,"The model answer misses most of the core content, providing no relevant information about the ERR-403-AUTH error or how to handle it.",baseline_dense
q10,Refund,"Nếu cần hoàn tiền khẩn cấp cho khách hàng VIP, quy trình có khác không?",Tôi không biết.,"Tài liệu chính sách hoàn tiền không đề cập đến quy trình đặc biệt cho khách hàng VIP. Theo chính sách hiện hành, tất cả yêu cầu hoàn tiền đều theo cùng quy trình tiêu chuẩn trong 3-5 ngày làm việc.",['policy/refund-v4.pdf'],"['policy/refund-v4.pdf', 'support/helpdesk-faq.md', 'it/access-control-sop.md']",3,1,The answer 'Tôi không biết' is mostly unsupported and does not reference any of the retrieved context. It does not provide any relevant information or claims that can be backed by the provided documents.,1,The answer does not address the query at all.,5,Retrieved 1/1 expected sources,1,"The model answer does not provide any relevant information regarding the refund process for VIP customers and fails to address the query, missing most of the core content.",baseline_dense
